"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test case tests API to Validate the absent on sample limit and summary page of Protocolbioburden Endotoxin residue verification when select zero in microbial policy for room grade rinse samples for split","20723","Validate the absent on sample limit and summary page of Protocol bioburden Endotoxin residue verification when select zero in microbial policy for room grade rinse samples for split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:47:31 IST 2024","passed","Tue Dec 17 17:47:51 IST 2024","TestMicrobialMultiProductionProtocol","test_multi_production_protocol_microbial_policy_absent","",""
"This test case tests API to Create Protocol microbial residue verification for split when select based on policy for fungal & bacterial of direct, and  for bacterial & fungal of Indirect when default surface unit is sqm and volume is L","16432","Create Protocol for microbial residue verification for non split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:00:00 IST 2024","passed","Tue Dec 17 17:00:16 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This method is used to get all details of Intermediate from master data","0","Get all details of Intermediate from master data","tests.unit.master_data","Tue Dec 17 18:05:57 IST 2024","skipped","Tue Dec 17 18:05:57 IST 2024","TestIntermediateMasterData","test_intemediate_master_data","",""
"This method is used to archive the analytical method from master data","73","Archive the analytical method from master data","tests.unit.master_data","Tue Dec 17 18:05:56 IST 2024","passed","Tue Dec 17 18:05:56 IST 2024","TestAnalyticalMethodMasterData","test_analytical_method_master_data","",""
"This test case tests API to Validate the absent on sample limit and summary page of Protocol microbial Endotoxin residue verification when select zero in microbial policy for room grade swab samples for non-split","18100","Validate the absent on sample limit and summary page of Protocol microbial Endotoxin residue verification when select zero in microbial policy for room grade swab samples for non-split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:49:20 IST 2024","passed","Tue Dec 17 17:49:38 IST 2024","TestMicrobialMultiProductionProtocol","test_multi_production_protocol_microbial_policy_absent","",""
"This test case tests SAL when Default Criteria in Policy is selected for each Equipment mapped to Production in API Facility","0","Test SAL of Production for Default Criteria in API Facility","tests.scenarios","Tue Dec 17 15:40:28 IST 2024","skipped","Tue Dec 17 15:40:28 IST 2024","TestLimitOnProduction","test_limit_productions","",""
"This test case test API to validate study inspection for bioburden bacterial residue verification details when new parameters are added using configure run form fields","59103","Validate study inspection for bioburden bacterial residue verification details when new parameters are added","tests.scenarios.configure_run_form_fields","Tue Dec 17 15:49:33 IST 2024","passed","Tue Dec 17 15:50:32 IST 2024","TestConfigureRunFormFieldsScenarios","test_configure_run_form_field","",""
"This test case test API to validate the master data snapshot report for cleaning procedure with excel file data","0","Validate master data snapshot report for cleaning procedure","tests.scenarios.audit_portal","Tue Dec 17 15:31:46 IST 2024","skipped","Tue Dec 17 15:31:46 IST 2024","TestApiAuditPortalLimits","test_audit_portal_api_facility","",""
"This test case test API to validate the audit logs details for when update the cleaning detailof inspection","59495","Validate the audit logs details for when update the cleaning detail of inspection","tests.scenarios.audit_logs","Tue Dec 17 18:15:55 IST 2024","failed","Tue Dec 17 18:16:55 IST 2024","TestAuditLogsScenarios","test_audit_logs_scenarios","",""
"This method is used to get details of archive cleaning procedure from master data","26","Get details of archive cleaning procedure from master data","tests.unit.master_data","Tue Dec 17 18:05:57 IST 2024","passed","Tue Dec 17 18:05:57 IST 2024","TestCleaningProcedureMasterData","test_cleaning_procedure_master_data","",""
"This test case API to add new user to CLEEN with quality control role","71","Add new User with quality control role","tests.unit.user_management","Tue Dec 17 18:06:16 IST 2024","passed","Tue Dec 17 18:06:16 IST 2024","TestUserManagement","test_user_management","",""
"This test case tests Production wise SAL when All Criteria and Same API to Same API Limits is OFF in Policy is selected for all production mapped to Equipment","5390","Test ProductWise SAL when Same API to Same API Limits is OFF","tests.scenarios","Tue Dec 17 15:38:53 IST 2024","passed","Tue Dec 17 15:38:58 IST 2024","TestLimitsOnEquipments","test_limit_equipments","",""
"This test case test API to validate the audit logs details for when update offline study","454","Validate the audit logs details for when update offline study","tests.scenarios.audit_logs","Tue Dec 17 18:06:55 IST 2024","failed","Tue Dec 17 18:06:55 IST 2024","TestAuditLogsScenarios","test_audit_logs_scenarios","",""
"This test case test API to archive the sample of sampling location on equipment","335","archive sample of sampling location","tests.unit.production","Tue Dec 17 18:06:12 IST 2024","passed","Tue Dec 17 18:06:13 IST 2024","TestSamplingLocation","test_sample_location","",""
"This Test case test API to get any one offline study details","63","Get any one offline study detail","tests.unit.offline_study","Tue Dec 17 18:06:04 IST 2024","passed","Tue Dec 17 18:06:04 IST 2024","TestOfflineStudy","test_offline_study","",""
"This test case tests API to Validate the absent on Protocol Microbial Endotoxin residue verification when select zero in microbial policy for swab & rinse samples for split","12490","Validate the absent on Protocol Microbial Endotoxin residue verification when select zero in microbial policy for swab & rinse samples for split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:35:49 IST 2024","passed","Tue Dec 17 17:36:01 IST 2024","TestMicrobialMultiProductionProtocol","test_multi_production_protocol_microbial_policy_absent","",""
"This test case tests API to Create Protocol and validate intermediate residue verification SALwhen surface area unit is sqin and SAL mass unit is mg","0","Create Protocol and validate intermediate residue verification SAL when surface area unit is sqin","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:33:10 IST 2024","skipped","Tue Dec 17 17:33:10 IST 2024","TestMultiProductionProtocolIntermediate","test_multi_production_protocol_intermediate","",""
"This test case test API to validate the audit logs details for when update the batch detail of inspection","61866","Validate the audit logs details for when update the batch detail of inspection","tests.scenarios.audit_logs","Tue Dec 17 18:10:27 IST 2024","failed","Tue Dec 17 18:11:29 IST 2024","TestAuditLogsScenarios","test_audit_logs_scenarios","",""
"This test case test API to Validate the audit logs details for updating analytical method details for master data","383","Validate the audit logs details for updating analytical method details for master data","tests.scenarios.audit_logs","Tue Dec 17 18:06:42 IST 2024","passed","Tue Dec 17 18:06:42 IST 2024","TestAuditLogsScenarios","test_audit_logs_scenarios","",""
"This test case tests API to get details of Sampling location Assessment attribute","18","Get Sampling location Assessment attribute Details","tests.unit.settings.sampling_location_assessment","Tue Dec 17 18:06:15 IST 2024","passed","Tue Dec 17 18:06:15 IST 2024","TestSamplingLocationAssessment","test_sampling_location_assessment","",""
"This test case test the swab & rinse sample limit of Nitrosamine map with production whenswab & rinse sample unit is in ug/ml","11733","Test the swab & rinse limit of Nitrosamine map to production","tests.scenarios.nitrosamine_limits","Tue Dec 17 17:59:57 IST 2024","passed","Tue Dec 17 18:00:08 IST 2024","TestNitrosamineChemicalSampleLimit","test_nitrosamine_chemical_limits","",""
"This test case Gets All Features of CLEEN Application","5","Get All Features of CLEEN Application","tests.unit.login_logout","Tue Dec 17 18:05:55 IST 2024","passed","Tue Dec 17 18:05:55 IST 2024","TestFeatures","test_features","",""
"This test case tests SAL when Default Criteria in Policy is selected for each Equipment mapped to Production(Intermediate) in API Facility","0","Test SAL of Production(Intermediate) for Default Criteria in API Facility","tests.scenarios","Tue Dec 17 15:40:28 IST 2024","skipped","Tue Dec 17 15:40:28 IST 2024","TestLimitOnProduction","test_limit_productions","",""
"This method is used to get details of equipment group details","44","Get details of equipment group details","tests.unit.quick_actions","Tue Dec 17 18:06:13 IST 2024","passed","Tue Dec 17 18:06:13 IST 2024","TestAddNewEquipment","test_quick_action_add_equipment","",""
"This test case tests API to Create Protocol for active residue verification and validate the final summary details for custom policy","16792","Validate the active residue verification final summary page for custom policy","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:16:28 IST 2024","passed","Tue Dec 17 17:16:44 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case tests API to Validate the absent on sample limits of Inspection bioburden Endotoxin residue verification when select zero in microbial policy for room grade swab & split","17944","Validate the absent on sample limits of Inspection bioburden Endotoxin residue verification when select zero in microbial policy for room grade swab & split","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:46:58 IST 2024","passed","Tue Dec 17 17:47:16 IST 2024","TestMicrobialMultiProductionProtocol","test_multi_production_protocol_microbial_policy_absent","",""
"This method is used to archive the Nitrosamine from master data","74","Archive the Nitrosamine from master data","tests.unit.master_data","Tue Dec 17 18:05:57 IST 2024","passed","Tue Dec 17 18:05:57 IST 2024","TestNitrosamineMasterData","test_nitrosamine_master_data","",""
"This test case test the swab & rinse sample limit of equipment map with production forIntermediate and swab & rinse sample unit is in ug","0","Test the swab & rinse limit of equipment map to production for Intermediate","tests.scenarios","Tue Dec 17 15:35:02 IST 2024","skipped","Tue Dec 17 15:35:02 IST 2024","TestChemicalSampleLimitProduction","test_chemical_sample_limit_production","",""
"This test case tests API to create an inspection on equipment and validate the Bioburden residue verification bioburden samples for custom SAL","30343","Create Inspection on Equipment & Validate the Bioburden Residue Verification Endotoxin Samplesfor custom SAL","tests.scenarios.multi_production_protocol.inspection","Tue Dec 17 15:59:12 IST 2024","passed","Tue Dec 17 15:59:43 IST 2024","TestInspectionMultiProductionProtocolCustom","test_multi_production_protocol_inspcetion_custom","",""
"This method is used to archive the Product from master data","97","Archive the Product from master data","tests.unit.master_data","Tue Dec 17 18:05:57 IST 2024","passed","Tue Dec 17 18:05:57 IST 2024","TestProductMasterData","test_products_master_data","",""
"This test case tests API to Create Protocol for cleaning agent residue verification and validate the final summary details for custom SAL","18200","Validate the cleaning agent residue verification final summary page for custom SAL","tests.scenarios.multi_production_protocol.protocol","Tue Dec 17 17:17:05 IST 2024","passed","Tue Dec 17 17:17:23 IST 2024","TestMultiProductionProtocol","test_multi_prodcution_protocol","",""
"This test case tests API to create an inspection on equipment and validate the Endotoxin residue verification Endotoxin samples for surface area sqcm and volume as l","14702","Create Inspection on Equipment & Validate the Endotoxin Residue Verification Endotoxin Samplesfor surface area sqcm and volume as l","tests.scenarios.multi_production_protocol.inspection","Tue Dec 17 16:14:56 IST 2024","passed","Tue Dec 17 16:15:10 IST 2024","TestInspectionMultiProductionProtocolSqcml","test_multi_production_protocol_inspection_sqcm_l","",""
"This test case test the Nitrosamine SAL from list of production when upper limit  for surface area is selected & default surface area is sqin","15265","Test Nitrosamine SAL","tests.scenarios.nitrosamine_limits","Tue Dec 17 18:05:01 IST 2024","passed","Tue Dec 17 18:05:16 IST 2024","TestNitrosamineLimit","test_nitrosamine_limits","",""
"This test case tests API to add new Sampling location Assessment auto-selection policies","37","Add New Sampling location Assessment auto-selection policies Details","tests.unit.settings.sampling_location_assessment","Tue Dec 17 18:06:15 IST 2024","passed","Tue Dec 17 18:06:15 IST 2024","TestSamplingLocationAssessment","test_sampling_location_assessment","",""
"This test case API to add new user to CLEEN with it admin role","58","Add new User with it admin role","tests.unit.user_management","Tue Dec 17 18:06:16 IST 2024","passed","Tue Dec 17 18:06:16 IST 2024","TestUserManagement","test_user_management","",""
"This test case test API to validate the audit logs details for when update the visual detailof inspection","0","Validate the audit logs details for when update the visual detail of inspection","tests.scenarios.audit_logs","Tue Dec 17 15:01:41 IST 2024","broken","Tue Dec 17 15:01:41 IST 2024","","test_audit_logs_scenarios","",""
